#            P[bar]TiO2                   VO                     Al2O3                  SiO2                   Mg1.2SiO3.2            H2O                    Fe                     FeS                    C                      SiC                                   T[K]
     2.6101572E+000         1.9272923E+003         1.8182704E+003         2.1140605E+003         2.4991212E+003         2.1793619E+003         2.2483542E+002         2.0037880E+003         1.9308098E+003         1.2301275E+002         1.0277970E+002
     2.3713737E+000         1.9225797E+003         1.8140814E+003         2.1083777E+003         2.4902024E+003         2.1725542E+003         2.2406654E+002         1.9955115E+003         1.9231361E+003         1.2301275E+002         1.0277970E+002
     2.1544347E+000         1.9178904E+003         1.8099118E+003         2.1027257E+003         2.4813482E+003         2.1657897E+003         2.2330299E+002         1.9873046E+003         1.9155243E+003         1.2301275E+002         1.0277970E+002
     1.9573418E+000         1.9132242E+003         1.8057616E+003         2.0971044E+003         2.4725579E+003         2.1590678E+003         2.2254472E+002         1.9791663E+003         1.9079738E+003         1.2301275E+002         1.0277970E+002
     1.7782794E+000         1.9085809E+003         1.8016305E+003         2.0915134E+003         2.4638309E+003         2.1523882E+003         2.2179168E+002         1.9710958E+003         1.9004838E+003         1.2301275E+002         1.0277970E+002
     1.6155981E+000         1.9039604E+003         1.7975186E+003         2.0859527E+003         2.4551663E+003         2.1457505E+003         2.2104380E+002         1.9630923E+003         1.8930535E+003         1.2301275E+002         1.0277970E+002
     1.4677993E+000         1.8993625E+003         1.7934256E+003         2.0804218E+003         2.4465636E+003         2.1391542E+003         2.2030103E+002         1.9551548E+003         1.8856823E+003         1.2301275E+002         1.0277970E+002
     1.3335214E+000         1.8947871E+003         1.7893515E+003         2.0749205E+003         2.4380220E+003         2.1325990E+003         2.1956333E+002         1.9472826E+003         1.8783695E+003         1.2301275E+002         1.0277970E+002
     1.2115277E+000         1.8902339E+003         1.7852960E+003         2.0694487E+003         2.4295409E+003         2.1260845E+003         2.1883064E+002         1.9394749E+003         1.8711142E+003         1.2301275E+002         1.0277970E+002
     1.1006942E+000         1.8857027E+003         1.7812590E+003         2.0640059E+003         2.4211195E+003         2.1196102E+003         2.1810288E+002         1.9317306E+003         1.8639157E+003         1.2301275E+002         1.0277970E+002
     1.0000000E+000         1.8811934E+003         1.7772404E+003         2.0585920E+003         2.4127572E+003         2.1131757E+003         2.1738003E+002         1.9240492E+003         1.8567735E+003         1.2301275E+002         1.0277970E+002
     9.0851758E-001         1.8767059E+003         1.7732400E+003         2.0532069E+003         2.4044536E+003         2.1067808E+003         2.1666204E+002         1.9164298E+003         1.8496869E+003         1.2301275E+002         1.0277970E+002
     8.2540419E-001         1.8722400E+003         1.7692579E+003         2.0478502E+003         2.3962080E+003         2.1004251E+003         2.1594886E+002         1.9088718E+003         1.8426552E+003         1.2301275E+002         1.0277970E+002
     7.4989421E-001         1.8677955E+003         1.7652938E+003         2.0425218E+003         2.3880197E+003         2.0941082E+003         2.1524043E+002         1.9013744E+003         1.8356778E+003         1.2301275E+002         1.0277970E+002
     6.8129207E-001         1.8633724E+003         1.7613477E+003         2.0372214E+003         2.3798881E+003         2.0878298E+003         2.1453672E+002         1.8939368E+003         1.8287542E+003         1.2301275E+002         1.0277970E+002
     6.1896582E-001         1.8589705E+003         1.7574194E+003         2.0319488E+003         2.3718127E+003         2.0815895E+003         2.1383767E+002         1.8865584E+003         1.8218835E+003         1.2301275E+002         1.0277970E+002
     5.6234133E-001         1.8545895E+003         1.7535087E+003         2.0267039E+003         2.3637929E+003         2.0753870E+003         2.1314324E+002         1.8792384E+003         1.8150653E+003         1.2301275E+002         1.0277970E+002
     5.1089698E-001         1.8502294E+003         1.7496156E+003         2.0214862E+003         2.3558281E+003         2.0692219E+003         2.1245338E+002         1.8719761E+003         1.8082989E+003         1.2301275E+002         1.0277970E+002
     4.6415888E-001         1.8458900E+003         1.7457400E+003         2.0162958E+003         2.3479178E+003         2.0630939E+003         2.1176805E+002         1.8647709E+003         1.8015838E+003         1.2301275E+002         1.0277970E+002
     4.2169650E-001         1.8415711E+003         1.7418816E+003         2.0111321E+003         2.3400611E+003         2.0570025E+003         2.1108718E+002         1.8576218E+003         1.7949191E+003         1.2301275E+002         1.0277970E+002
     3.8311868E-001         1.8372726E+003         1.7380404E+003         2.0059953E+003         2.3322578E+003         2.0509475E+003         2.1041075E+002         1.8505285E+003         1.7883046E+003         1.2301275E+002         1.0277970E+002
