#            P[bar]       dens[g/cm^3]                 xn                   TiO2                     VO                  Al2O3                   SiO2            Mg1.2SiO3.2                    H2O                     Fe                    FeS                      C                    SiC                    MgO          r[micron]               T[K]              Jstar
     4.6415888E-005     8.6151001E-010     5.0184948E-010         3.0063343E-013         2.6817183E-014         7.8729272E-012         1.0544249E-010         1.9351152E-011         0.0000000E+000         3.4692858E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0035956E-007     1.5085574E+003     7.5573533E-006
     4.2169650E-005     7.8269672E-010     5.0208606E-010         2.7257355E-013         2.4312373E-014         7.1365467E-012         9.5467964E-011         1.7545426E-011         0.0000000E+000         3.1430868E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0027355E-007     1.5084675E+003     7.1385080E-006
     3.8311868E-005     7.1109349E-010     4.9520531E-010         2.4416324E-013         2.1776696E-014         6.3913262E-012         8.5399170E-011         1.5717011E-011         0.0000000E+000         2.8133355E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0022399E-007     1.5083775E+003     6.7311798E-006
     3.4807006E-005     6.4604072E-010     4.8214351E-010         2.1590588E-013         1.9255061E-014         5.6504552E-012         7.5413093E-011         1.3898264E-011         0.0000000E+000         2.4858272E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0017448E-007     1.5082876E+003     6.3360843E-006
     3.1622777E-005     5.8693916E-010     4.6406424E-010         1.8874031E-013         1.6831188E-014         4.9384962E-012         6.5836929E-011         1.2149622E-011         0.0000000E+000         2.1713586E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0012502E-007     1.5081977E+003     5.9538340E-006
     2.8729848E-005     5.3320495E-010     4.4211431E-010         1.6299339E-013         1.4534195E-014         4.2639754E-012         5.6793370E-011         1.0494298E-011         0.0000000E+000         1.8749798E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0007473E-007     1.5081629E+003     5.5845174E-006
     2.6101572E-005     4.8439011E-010     4.1754780E-010         1.3954086E-013         1.2442130E-014         3.6497665E-012         4.8570582E-011         8.9859285E-012         0.0000000E+000         1.6050183E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0002459E-007     1.5081281E+003     5.2290235E-006
     2.3713737E-005     4.4004425E-010     3.9132071E-010         1.1873856E-013         1.0586663E-014         3.1051247E-012         4.1288609E-011         7.6475829E-012         0.0000000E+000         1.3655716E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000120E-007     1.5080933E+003     4.8876664E-006
     2.1544347E-005     3.9975826E-010     3.6427118E-010         1.0049942E-013         8.9599656E-015         2.6277195E-012         3.4913292E-011         6.4738040E-012         0.0000000E+000         1.1556398E-014         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000116E-007     1.5080586E+003     4.5606688E-006
     1.9573418E-005     3.6316044E-010     3.3728444E-010         8.4610195E-014         7.5429736E-015         2.2119281E-012         2.9367125E-011         5.4509832E-012         0.0000000E+000         9.7276931E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000112E-007     1.5080238E+003     4.2481665E-006
     1.7782794E-005     3.2991315E-010     3.1096808E-010         7.0931262E-014         6.3231903E-015         1.8540588E-012         2.4598606E-011         4.5702354E-012         0.0000000E+000         8.1535184E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000108E-007     1.5079890E+003     3.9502132E-006
     1.6155981E-005     2.9970964E-010     2.8566535E-010         5.9249200E-014         5.2815485E-015         1.5484969E-012         2.0531057E-011         3.8179035E-012         0.0000000E+000         6.8092974E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000105E-007     1.5079542E+003     3.6667860E-006
     1.4677993E-005     2.7227126E-010     2.6161521E-010         4.9339894E-014         4.3980351E-015         1.2893548E-012         1.7084569E-011         3.1796212E-012         0.0000000E+000         5.6692169E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000101E-007     1.5079195E+003     3.3977906E-006
     1.3335214E-005     2.4734486E-010     2.3895052E-010         4.0978900E-014         3.6526148E-015         1.0707425E-012         1.4179566E-011         2.6409839E-012         0.0000000E+000         4.7074230E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000097E-007     1.5078847E+003     3.1430672E-006
     1.2115277E-005     2.2470047E-010     2.1773592E-010         3.3955163E-014         3.0264520E-015         8.8712527E-013         1.1741503E-011         2.1884347E-012         0.0000000E+000         3.8996027E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000093E-007     1.5078499E+003     2.9023965E-006
     1.1006942E-005     2.0411406E-010     1.9791231E-010         2.8043682E-014         2.4994739E-015         7.3260864E-013         9.6920748E-012         1.8076498E-012         0.0000000E+000         3.2207256E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000089E-007     1.5078365E+003     2.6753015E-006
     1.0000000E-005     1.8541372E-010     1.7954191E-010         2.3116393E-014         2.0602523E-015         6.0383513E-013         7.9851268E-012         1.4902035E-012         0.0000000E+000         2.6548333E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000085E-007     1.5078231E+003     2.4616978E-006
     9.0851758E-006     1.6842665E-010     1.6257314E-010         1.9019538E-014         1.6950718E-015         4.9677839E-013         6.5668378E-012         1.2262163E-012         0.0000000E+000         2.1842915E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000082E-007     1.5078097E+003     2.2612197E-006
     8.2540419E-006     1.5299589E-010     1.4695132E-010         1.5621618E-014         1.3922043E-015         4.0799613E-013         5.3912574E-012         1.0072345E-012         0.0000000E+000         1.7940129E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000078E-007     1.5077963E+003     2.0734655E-006
     7.4989421E-006     1.3897885E-010     1.3260608E-010         1.2809177E-014         1.1415313E-015         3.3451926E-013         4.4188037E-012         8.2596110E-013         0.0000000E+000         1.4709763E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000074E-007     1.5077828E+003     1.8980029E-006
     6.8129207E-006     1.2624601E-010     1.1946631E-010         1.0486049E-014         9.3447770E-016         2.7383189E-013         3.6159726E-012         6.7620891E-013         0.0000000E+000         1.2041423E-015         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000071E-007     1.5077694E+003     1.7343747E-006
     6.1896582E-006     1.1467971E-010     1.0745634E-010         8.5705758E-015         7.6376231E-016         2.2379814E-013         2.9543502E-012         5.5272224E-013         0.0000000E+000         9.8413438E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000067E-007     1.5077560E+003     1.5821040E-006
     5.6234133E-006     1.0417309E-010     9.6502228E-011         6.9940578E-015         6.2325996E-016         1.8262149E-013         2.4100583E-012         4.5107823E-013         0.0000000E+000         8.0306305E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000063E-007     1.5077426E+003     1.4406986E-006
     5.1089698E-006     9.4629053E-011     8.6530156E-011         5.6986924E-015         5.0781737E-016         1.4879066E-013         1.9630267E-012         3.6755456E-013         0.0000000E+000         6.5428912E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000059E-007     1.5077292E+003     1.3096561E-006
     4.6415888E-006     8.5959413E-011     7.7469395E-011         4.6361262E-015         4.1312396E-016         1.2104168E-013         1.5964825E-012         2.9903666E-013         0.0000000E+000         5.3225805E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000056E-007     1.5077158E+003     1.1884677E-006
     4.2169650E-006     7.8076130E-011     6.9213624E-011         3.7624504E-015         3.3526566E-016         9.8226977E-014         1.2952486E-012         2.4270307E-013         0.0000000E+000         4.3197162E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000052E-007     1.5077106E+003     1.0765105E-006
     3.8311868E-006     7.0915817E-011     6.1743396E-011         3.0487681E-015         2.7166655E-016         7.9591320E-014         1.0492594E-012         1.9668160E-013         0.0000000E+000         3.5004645E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000048E-007     1.5077054E+003     9.7340862E-007
     3.4807006E-006     6.4412172E-011     5.4989613E-011         2.4664351E-015         2.1977344E-016         6.4386246E-014         8.4860485E-013         1.5912704E-013         0.0000000E+000         2.8319647E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000046E-007     1.5077002E+003     8.7865444E-007
     3.1622777E-006     5.8504973E-011     4.8899143E-011         1.9922560E-015         1.7751889E-016         5.2005737E-014         6.8526475E-013         1.2854492E-013         0.0000000E+000         2.2876027E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000045E-007     1.5076951E+003     7.9174813E-007
     2.8729848E-006     5.3139519E-011     4.3412156E-011         1.6066051E-015         1.4315371E-016         4.1937093E-014         5.5245702E-013         1.0367057E-013         0.0000000E+000         1.8448579E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000044E-007     1.5076899E+003     7.1220005E-007
     2.6101572E-006     4.8266127E-011     3.8480788E-011         1.2935826E-015         1.1526082E-016         3.3764989E-014         4.4468973E-013         8.3479259E-014         0.0000000E+000         1.4854832E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000043E-007     1.5076847E+003     6.3953301E-007
     2.3713737E-006     4.3839671E-011     3.4053366E-011         1.0398259E-015         9.2649318E-017         2.7140406E-014         3.5734950E-013         6.7109692E-014         0.0000000E+000         1.1941425E-016         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000041E-007     1.5076795E+003     5.7328418E-007
     2.1544347E-006     3.9819162E-011     3.0087739E-011         8.3452236E-016         7.4355573E-017         2.1780947E-014         2.8670472E-013         5.3864840E-014         0.0000000E+000         9.5842471E-017         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000040E-007     1.5076744E+003     5.1300660E-007
     1.9573418E-006     3.6167372E-011     2.6539526E-011         6.6863057E-016         5.9573836E-017         1.7450492E-014         2.2963633E-013         4.3161808E-014         0.0000000E+000         7.6795192E-017         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000039E-007     1.5076692E+003     4.5827058E-007
     1.7782794E-006     3.2850485E-011     2.3372208E-011         5.3485265E-016         4.7653750E-017         1.3958469E-014         1.8362799E-013         3.4530024E-014         0.0000000E+000         6.1434611E-017         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000038E-007     1.5076640E+003     4.0866459E-007
     1.6155981E-006     2.9833125E-011     2.0531580E-011         4.2665711E-016         3.8013262E-017         1.1134323E-014         1.4642913E-013         2.7548708E-014         0.0000000E+000         4.9013067E-017         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000036E-007     1.5076620E+003     3.6373807E-007
     1.4677993E-006     2.7092913E-011     1.8006951E-011         3.3979249E-016         3.0273508E-017         8.8670419E-015         1.1657197E-013         2.1943241E-014         0.0000000E+000         3.9039654E-017         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000035E-007     1.5076600E+003     3.2318896E-007
     1.3335214E-006     2.4604394E-011     1.5761839E-011         2.7007929E-016         2.4062048E-017         7.0475005E-015         9.2616727E-014         1.7444125E-014         0.0000000E+000         3.1034809E-017         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000034E-007     1.5076580E+003     2.8666211E-007
     1.2115277E-006     2.2344448E-011     1.3773472E-011         2.1430481E-016         1.9092596E-017         5.5918188E-015         7.3456863E-014         1.3844187E-014         0.0000000E+000         2.4629875E-017         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000033E-007     1.5076560E+003     2.5382248E-007
     1.1006942E-006     2.0292081E-011     1.2011075E-011         1.6969397E-016         1.5117868E-017         4.4275455E-015         5.8136722E-014         1.0964469E-014         0.0000000E+000         1.9506413E-017         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000031E-007     1.5076541E+003     2.2435508E-007
     1.0000000E-006     1.8428227E-011     1.0455785E-011         1.3413080E-016         1.1949314E-017         3.4994402E-015         4.5927858E-014         8.6685017E-015         0.0000000E+000         1.5421590E-017         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000030E-007     1.5076521E+003     1.9796469E-007
     9.0851758E-007     1.6735570E-011     9.0817173E-012         1.0578323E-016         9.4236830E-018         2.7596742E-015         3.6199606E-014         6.8381247E-015         0.0000000E+000         1.2165158E-017         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000029E-007     1.5076501E+003     1.7437554E-007
     8.2540419E-007     1.5198386E-011     7.8735305E-012         8.3269173E-017         7.4178229E-018         2.1721680E-015         2.8476374E-014         5.3841870E-015         0.0000000E+000         9.5784841E-018         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000028E-007     1.5076481E+003     1.5333081E-007
     7.4989421E-007     1.3802394E-011     6.8095140E-012         6.5385791E-017         5.8245550E-018         1.7055225E-015         2.2344265E-014         4.2291029E-015         0.0000000E+000         7.5235223E-018         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000026E-007     1.5076461E+003     1.3459202E-007
     6.8129207E-007     1.2534626E-011     5.8774289E-012         5.1238297E-017         4.5641517E-018         1.3363817E-015         1.7495664E-014         3.3151331E-015         0.0000000E+000         5.8975360E-018         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000025E-007     1.5076441E+003     1.1793839E-007
     6.1896582E-007     1.1380490E-011     5.0529247E-012         3.9980242E-017         3.5611889E-018         1.0426490E-015         1.3639237E-014         2.5877036E-015         0.0000000E+000         4.6034795E-018         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000024E-007     1.5076433E+003     1.0314017E-007
     5.6234133E-007     1.0332621E-011     4.3345131E-012         3.1125724E-017         2.7723721E-018         8.1164158E-016         1.0607892E-014         2.0154407E-015         0.0000000E+000         3.5854554E-018         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000023E-007     1.5076425E+003     9.0042291E-008
     5.1089698E-007     9.3812363E-012     3.7049175E-012         2.4144072E-017         2.1504177E-018         6.2950824E-016         8.2191955E-015         1.5641058E-015         0.0000000E+000         2.7825550E-018         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000021E-007     1.5076418E+003     7.8471369E-008
     4.6415888E-007     8.5174509E-012     3.1586776E-012         1.8679551E-017         1.6636301E-018         4.8696462E-016         6.3509522E-015         1.2107392E-015         0.0000000E+000         2.1539334E-018         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000020E-007     1.5076410E+003     6.8268748E-008
     4.2169650E-007     7.7331993E-012     2.6811489E-012         1.4387291E-017         1.2812810E-018         3.7500913E-016         4.8846025E-015         9.3309053E-016         0.0000000E+000         1.6600090E-018         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000019E-007     1.5076402E+003     5.9289619E-008
     3.8311868E-007     7.0211583E-012     2.2687332E-012         1.1046046E-017         9.8365829E-019         2.8786802E-016         3.7442123E-015         7.1687531E-016         0.0000000E+000         1.2753701E-018         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000018E-007     1.5076395E+003     5.1402164E-008
     3.4807006E-007     6.3746791E-012     1.9089614E-012         8.4321946E-018         7.5083725E-019         2.1970469E-016         2.8529277E-015         5.4766429E-016         0.0000000E+000         9.7434858E-019         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000016E-007     1.5076387E+003     4.4486697E-008
     3.1622777E-007     5.7877251E-012     1.5997871E-012         6.4103478E-018         5.7075591E-019         1.6698642E-016         2.1643350E-015         4.1671225E-016         0.0000000E+000         7.4138679E-019         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000015E-007     1.5076379E+003     3.8434827E-008
     2.8729848E-007     5.2548153E-012     1.3305251E-012         4.8356090E-018         4.3050413E-019         1.2593149E-016         1.6286522E-015         3.1466867E-016         0.0000000E+000         5.5985140E-019         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000014E-007     1.5076372E+003     3.3148641E-008
     2.6101572E-007     4.7709737E-012     1.1004057E-012         3.6268546E-018         3.2285535E-019         9.4423830E-017         1.2181500E-015         2.3628669E-016         0.0000000E+000         4.2040803E-019         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000012E-007     1.5076364E+003     2.8539906E-008
     2.3713737E-007     4.3299859E-012     8.9813023E-013         2.6826711E-018         2.3877314E-019         6.9816141E-017         8.9792953E-016         1.7502691E-016         0.0000000E+000         3.1142578E-019         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000011E-007     1.5076361E+003     2.4519563E-008
     2.1544347E-007     3.9297592E-012     7.2674736E-013         1.9667557E-018         1.7502420E-019         5.1161938E-017         6.5563826E-016         1.2853676E-016         0.0000000E+000         2.2871700E-019         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000010E-007     1.5076358E+003     2.1029015E-008
     1.9573418E-007     3.5665260E-012     5.7736852E-013         1.4149801E-018         1.2589483E-019         3.6787572E-017         4.6924869E-016         9.2677459E-017         0.0000000E+000         1.6491983E-019         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000008E-007     1.5076355E+003     1.8004089E-008
     1.7782794E-007     3.2368670E-012     4.5181363E-013         1.0022229E-018         8.9147806E-020         2.6038250E-017         3.3023278E-016         6.5819742E-017         0.0000000E+000         1.1713571E-019         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000007E-007     1.5076352E+003     1.5387547E-008
     1.6155981E-007     2.9376789E-012     3.4216121E-013         6.8623447E-019         6.1018665E-020         1.7811233E-017         2.2406865E-016         4.5237741E-017         0.0000000E+000         8.0516066E-020         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000005E-007     1.5076349E+003     1.3128456E-008
     1.4677993E-007     2.6661451E-012     2.5089354E-013         4.5431343E-019         4.0376707E-020         1.1775807E-017         1.4648697E-016         3.0104400E-017         0.0000000E+000         5.3589345E-020         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000004E-007     1.5076346E+003     1.1181599E-008
     1.3335214E-007     2.4197096E-012     1.7085357E-013         2.7832222E-019         2.4714790E-020         7.1975142E-018         8.7814488E-017         1.8604944E-017         0.0000000E+000         3.3127617E-020         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000003E-007     1.5076343E+003     9.5069278E-009
     1.2115277E-007     2.1960524E-012     1.0504659E-013         1.5281554E-019         1.3548804E-020         3.9351058E-018         4.6317599E-017         1.0380869E-017         0.0000000E+000         1.8492810E-020         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000003E-007     1.5076340E+003     8.0690517E-009
     1.1006942E-007     1.9930682E-012     4.6912568E-014         5.8950549E-020         5.2027305E-021         1.4992164E-018         1.5919161E-017         4.2053949E-018         0.0000000E+000         7.5029170E-021         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000001E-007     1.5076337E+003     6.8367676E-009
     1.0000000E-007     1.8088461E-012     6.0130175E-017         7.5559856E-023         6.6685989E-024         1.9216203E-021         0.0000000E+000         0.0000000E+000         0.0000000E+000         9.6168625E-024         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0000001E-007     1.5076334E+003     5.7826267E-009
